SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
42	Habe Sie ein Programm dafür oder können wir das selbst organisieren ?						
43	Ich wurd wäre Ihnen sehr dankbar , wenn Sie mich meine Fragen benantworten würden .	benantworten	62	74		beantworten	
44	Mit freundlichen Grüßen Meier						
45	Eva Meier Schmidt Müllergasse 12 12345 Stadt X Kroatien Aupair-sglobal Bahnhofstr .	Aupair-sglobal	56	70		Aupairsglobal	
46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	interesiert	116	127		interessiert	
46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	teil	134	138		teilzunehmen	
46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	zu	139	141		teilzunehmen	
46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	nehmen	142	148		teilzunehmen	
47	Deshalb habe ich mich entschieden diesen Brief zu schreiben und ich hoffe sie antworten mir auf meine Fragen .						
48	Ich komme aus Kroatien und bin 28 Jahre alt .						
49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	dass	43	47		das	
49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Au-pair	48	55		Au-pair-Stelle	
49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Stelle	56	62		Au-pair-Stelle	
49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	möglichkeit	108	119		Möglichkeit	
49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	sprache	126	133		Sprache	
50	Gerne würde ich auch wissen welche Aufenthaltsformalit-unreadable - verlangen Sie von mir ?						
51	Muss ich alle Dokumente für Visum und Arbeitserlaubnis in Kroatien abgeben oder doch in Deutschland ?						
52	Können Sie mir auch mitteilen , welche Rechte ich habe ?						
53	Habe ich während meiner Zeit in Deutschland eine Krankenversicherung ?						
54	Welche Pflichten erwarten mich ?						
55	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Lehrerin	64	72		Lehrerinausbildung	
55	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Ausbildung	73	83		Lehrerinausbildung	
55	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	endecken	167	175		entdecken	
56	Auf Ihre positive Antwort freue ich mich und bei Ihnen bedanke .						
57	Mit Freundlichen grüßen , Eva Meier	Freundlichen	4	16		freundlichen	
57	Mit Freundlichen grüßen , Eva Meier	grüßen	17	23		Grüßen	
58	Abs .						
59	Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	WOLTE	207	212		WOLLTE	
59	Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	STELEN	234	240		STELLEN	
60	ICH HABE LITAUISCHE STAATSANGEHORISCHKEIT : WIE IST MIT AUFENTHALTSFORMALITÄTEN ?	STAATSANGEHORISCHKEIT	20	41		STAATSANGEHÖRIGKEIT	
61	( LITAUEN IST IN den EU ) : BRAUCHE ICH """" EINE ABITUR DIPLOME und ec : DOKUMENTE ZU UBERSETZEN ?	UBERSETZEN	84	94		ÜBERSETZEN	
62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	POWEREITUNG	26	37		vORBEREITUNG	
62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wolte	156	161		wollte	
62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wisen	162	167		wissen	
62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	geschprochen	205	217		gesprochen	
63	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	Deutsche	19	27		deutsche	
63	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	sprache	64	71		Sprache	
63	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	verbesern	75	84		verbessern	
64	( Englisch spreche ich nicht ) Noch ein paar Fragen : - Wie viele Stunde am Tag würde ich Arbeiten ?	Arbeiten	90	98		arbeiten	
65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	wan	2	5		wann	
65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Schuhle	25	32		Schule	
65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	organizieren	81	93		organisieren	
65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Deutschsprache	184	198		Deutschsprachkurs	
65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Kurse	199	204		Deutschsprachkurs	
65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	besuschen	205	214		besuchen	
66	Gibs in Eurere Statd solche Kurse ???	Statd	15	20		Stadt	
67	- Muss ich 24 St am Tag mit Familie verbringen ?						
68	Ich gerne schwimmen ( das tut gut für Stresausbau ) , dürfte ich das auch in Deutschland machen ?	Stresausbau	38	49		Stressabbau	
69	Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	mitte	47	52		Mitte	
69	Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	abreiten	74	82		arbeiten	
70	Schöne Gruße Frau Eva Schmidt						
71	Stadt X , 28.05.2011 Internationale Au-pair Vermittlung Bahnhofstr .						
72	101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	interesse	147	156		interessiert	
72	101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	ideall	269	275		ideal	
73	Vor allem möchte ich noch die Formalitäten erkundi-unreadable - Bitte sagen mir welche Dokumente brauche ich um das Au-pair arbeiten zu können .						
74	Außerdem möchte ich wissen ob ich fließend Deutsch sprechen muss oder nur kommunikativ ?						
75	Bitte sagen mir auch ob ich die Freizeit habe und welche Freizeitaktivitäten schlagen Sie mir vor Ich hoffe dass Sie mir helfen .						
76	Über eine schnelle Antwort von Ihnen würde ich mich sehr freuen .						
77	Mit freundlichen Grüßen Eva Winkelmann						
78	Meier Katharina 603.2010 .						
79	1234 Stadt X Computer-Spezialist Odenwaldstraße 5 .						
80	53119 Bonn Bewerbung um eine Praktikumstelle Sehr geehrte Damen und Herren , ich kenne Ihr Unternehmen als Kundin , daher möchte ich mich bei Ihnen als Praktikantin bewerben Wie Sie aus meinem Lebenslauf entnehmen können , besuche ich zur Zeit einen einjähriges Kurs .						
81	Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	neues	123	128		Neues	
81	Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	verlaüft	271	279		verläuft	
82	Über eine positive Rückmeldung und über eine freundliche Gespräch würde ich mich sehr freuen Mit freundlichen Grüßen Katharina M.						
83	Maria Schmidt 06.03.2010 .						
84	Bahnhofsstraße 12 Stadt X. 12345 Stadt Y Computer-Spezialist Odenwaldstraße 5 .						
85	55119 Bonn .						
86	Bewerbung um ein Praktikum Sehr geehrte Damen und Herren , hiermit möchte ich mich als praktikantin in Ihrer Einrichtung bewerben .	praktikantin	87	99		Praktikantin	
87	Ich lebe seit 7 Jahren in Deutschland und wohne seit 4 Jahren in Stadt Y. Im Sommer besuchte ich Ihre Einrichtung bei einem Exkurs der Volkshochschule .						
88	Dies hat mein Interess geweckt als Praktikantin bei Ihnen zu arbeit .						
89	Dies macht mir große freude .	freude	21	27		Freude	
90	Ich bin verheiratet und habe eine Tochter die in den Kindergarten geht .						
91	Ich bin Motiviert an arbeite gern im Team .	Motiviert	8	17		motiviert	
92	Meine persönlichen Stärken sind Freundlichkeit und Zuverlässigkeit .						
93	Über eine Einladung zu einem persönlichen Gespräch , würde ich mich sehr freuen .						
94	Mit freundlichen Grüßen Maria Schmidt						
95	Katharina Winkelmann Müllergasse 12 12345 Stadt X 06.03.2010 Computer-Spezialist Odenwaldstraße 5 , m 53119 Bonn Bewerbung für Vertriebspraktikum .						
96	Ich lebe seit 4 Jahren in Deutschland .						
97	Ich bin Studentin als Betriebswirtschaftslehre an der XY Universität in Stadt Y und Ich will in Deutschland weiter Studieren .	Ich	84	87		ich	
98	Ich möchte gerne dieses Vertriebspraktikum in Ihrem Haus absolvieren , weil ich mich für an elektronischer Datenverarbeitung interessiere .						
99	Ich kann gut mit andere Leute zusammen arbeiten Ich lerne gerne neues dazu .	neues	64	69		Neues	
100	Ich kann sehr gut mit Computer arbeiten und ich kenne officeprogramme sehr gut .	officeprogramme	54	69		Officeprogramme	
101	Ich kann flexibel arbeiten .						
102	Ich freue mich sehr über ein vorstellungsspräch .	vorstellungsspräch	29	47		Vorstellungsgespräch	
103	Mit freundlichen Grüßen Katharina Winkelmann						
104	Julia Schmidt Bahnhofstr .						
105	123 12345 Stadt X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 08.02.2009 Bewerbung um einen Praktikumsplatz Sehr geehrte Damen und Herren , Ich interessiere mich dafür , mein Praktikum bei Ihrem Geschäft zu machen .	Ich	144	147		ich	
106	Für diese Stelle bringe ich alle Voraussetzungen mit .						
107	Ich habe 4 Jahre Wirtschaft an der Uni in der Ukraine studiert .						
108	Meine Spezialisierung ist Betriebswirtschaft .						
109	Ich spreche gut Russisch , Deutsch , Englisch und ich habe Grundkenntnisse in Franzosisch .	Franzosisch	78	89		Französisch	
110	Ich habe auch gute Computerkenntnisse .						
111	Ich habe gern mit anderen Leuten zu tun und ich arbeite gern im Team .						
112	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit , sondern auch die Mentalität der Deutschen besser kennen zu lernen .						
113	Diese Erfahrung wird mir später bei meiner Arbeit in der Ukraine helfen und in der deutscher Sprache Vielen Dank am hinaus Mit freundlichen Grüßen Julia Schmidt						
114	Julia Müller Stadt X , den 11,3,2010 Bahnhof str .	Bahnhof	37	44		Bahnhofstr.	
114	Julia Müller Stadt X , den 11,3,2010 Bahnhof str .	str	45	48		Bahnhofstr.	
114	Julia Müller Stadt X , den 11,3,2010 Bahnhof str .	.	49	50		Bahnhofstr.	
115	12 12345 Stadt X VertriebPraktikant w. / m Bahnhofstr .	VertriebPraktikant	17	35		Vertriebspraktikant	
116	5 , 53119 Bonn Seher geeharter Dammen und Herren !	Seher	15	20		Sehr	
116	5 , 53119 Bonn Seher geeharter Dammen und Herren !	geeharter	21	30		geehrte	
116	5 , 53119 Bonn Seher geeharter Dammen und Herren !	Dammen	31	37		Damen	
117	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	Kaufmännischen	36	50		kaufmännischen	
117	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	VertrebPraktik	61	75		Vertriebspraktikant	
117	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	ant	76	79		Vertriebspraktikant	
118	Ich möchte gern Teinehmen .	Teinehmen	16	25		teilnehmen	
119	Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	intersieren	14	25		interessieren	
119	Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	fach	42	46		Fach	
120	Invormieren Sie mir für diesen fach .	Invormieren	0	11		Informieren	
120	Invormieren Sie mir für diesen fach .	fach	31	35		Fach	
121	Bitte schreiben Sie mich wann anfängen und wie viel-unreadable - geburien habe , für Teilnehmen ?	geburien	65	73		Gebühren	
121	Bitte schreiben Sie mich wann anfängen und wie viel-unreadable - geburien habe , für Teilnehmen ?	Teilnehmen	85	95		teilnehmen	
122	und Teilen Sie mir .	Teilen	4	10		teilen	
123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	desen	23	28		diesen	
123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	Telefon	29	36		Telefonnummer	
123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	nberen	37	43		Telefonnummer	
123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	Teil	74	78		teilnehmen	
123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	nehme	79	84		teilnehmen	
124	Ich biedake mich für diesen invohrmieren .	biedake	4	11		bedanke	
124	Ich biedake mich für diesen invohrmieren .	invohrmieren	28	40		Information	
125	mit frundlichen Grüßen	mit	0	3		Mit	
125	mit frundlichen Grüßen	frundlichen	4	15		freundlichen	
126	Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	Als	162	165		als	
126	Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	enzeige	228	235		Anzeige	
126	Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	seh	257	260		sehr	
127	Ihr Unternehmen ist mir innovativ und international bekannt .						
128	In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	Chencen	41	48		Chancen	
128	In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	Kaufmännischer	53	67		kaufmännischer	
128	In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	inder	118	123		in der	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	meie	6	10		meine	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	erfahrung	36	45		Erfahrung	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	Exel	69	73		Excel	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	behersche	84	93		beherrsche	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	10	98	100		10-Finger-System	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	Finger	101	107		10-Finger-System	
129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	System	108	114		10-Finger-System	
130	Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	Prarktikum	14	24		Praktikum	
130	Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	vertrieb	29	37		Vertrieb	
130	Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	firme	53	58		Firma	
130	Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	erfahrung	111	120		Erfahrung	
131	Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	Eben	0	4		Ebenso	
131	Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	so	5	7		Ebenso	
131	Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	Sprach	18	24		Sprachkenntnisse	
131	Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	kentnesse	25	34		Sprachkenntnisse	
131	Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	Als	76	79		als	
131	Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	intrnational	80	92		international	
132	Auser dem bin ich flexibel und engagiert .	Auser	0	5		Außerdem	
132	Auser dem bin ich flexibel und engagiert .	dem	6	9		Außerdem	
133	Auch Wochenenddienste und wechselende Arbeitzeit Selbsverstänlich .	Selbsverstänlich	49	65		selbstverständlich	
134	Über Einladung zu Gesprach termin freu mich seh .	Gesprach	18	26		Gesprächstermin	
134	Über Einladung zu Gesprach termin freu mich seh .	termin	27	33		Gesprächstermin	
134	Über Einladung zu Gesprach termin freu mich seh .	seh	44	47		sehr	
135	Mit freundlichen Grüssen Meier Müller	Grüssen	17	24		Grüßen	
136	Stadt X , den 05.03.2010 Maria Meier Zentralplatz 12 12345 Stadt Y 123456789 Computer-Spezialist Odenwaldstr 5 53119 Bonn Bewerbung um ein Praktikum Sehr geehrte Damen und Herren auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von 15.04 bis 15.5 in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt .	ansprusvollen	220	233		anspruchsvollen	
136	Stadt X , den 05.03.2010 Maria Meier Zentralplatz 12 12345 Stadt Y 123456789 Computer-Spezialist Odenwaldstr 5 53119 Bonn Bewerbung um ein Praktikum Sehr geehrte Damen und Herren auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von 15.04 bis 15.5 in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt .	Unternemen	264	274		Unternehmen	
