Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
In augosto faceva molto caldo , ma l' aria condizionata non ha funzionato nella nostra camera .	augosto	3	10	agosto	agosto	y
Ogni giorno saremmo nuotato , ma la piscina era sempre sovrafollata .	sovrafollata	55	67	sovraffollato	sovraffolata	n
Io preferito fare la gita , ma il lago é lontano del residence .	é	39	40	e	è	n
Cosí noi abbiamo passato un giorno con il viaggio e il biglietto di andate e ritorno era molto costoso .	Cosí	0	4	Cosa	Così	n
I prezzi erano piú ricchi che sono nella cataloga .	piú	15	18	più	più	y
Io non sono contenta , perché erano molte differenze tra la realtá e l' annuncio pubblicitario .	realtá	60	66	realtà	realtà	y
L' ano prossimo non viaggieremo in Città X nella Residence al Lago .	ano	3	6	anno	anno	y
L' ano prossimo non viaggieremo in Città X nella Residence al Lago .	viaggieremo	20	31	viaggeremo	viaggeremo	y
Loro scrivevano tante buggia tra le informazioni .	buggia	22	28	bugia	bugia	y
La residence è molto vecchio , che ocorre rifare .	ocorre	35	41	occorre	occorre	y
Non siamo potuto usare i campi da tennis perchè era in riparazione .	perchè	41	47	perché	perché	y
Ogni giorno abbiamo passato tre ore nell' aspetto in differenti stazioni dei mezzi pubblici , perchè il lago è lontano , il treno va due volte a giorno .	perchè	94	100	perché	perché	y
Si deve cercare la possibilità di gioccare tennis in un altro posto .	gioccare	34	42	giocare	giocare	y
Agosto 2011 Egregi Signori , In seguito al soggiorno nel vostro albergo nel mese scorso , ho deciso di scrivere la mia esperienza .	In	29	31	In	in	n
Ho letto nel suo annuncio che il hote é provvista di condizionamento d' aria , ma nemmeno questo funzionava .	hote	33	37	note	hotel	n
Ho letto nel suo annuncio che il hote é provvista di condizionamento d' aria , ma nemmeno questo funzionava .	é	38	39	è	è	y
Mi piace nuotare , peró in piscina c' era tante gente e così non mi é riuscita di nuotare affatto .	peró	19	23	per	però	n
Mi piace nuotare , peró in piscina c' era tante gente e così non mi é riuscita di nuotare affatto .	é	68	69	è	è	y
per quanto riguarda il trattamento non mi lamento , peró la possibilità per fare dello sport era orribile .	per	0	3	Per	Per	y
per quanto riguarda il trattamento non mi lamento , peró la possibilità per fare dello sport era orribile .	peró	52	56	per	però	n
Nella speranza che la mia lettera sia apprezzata e mi confermiate , porgo i miei piú destinti saluti .	piú	81	84	più	più	y
Maria Rossi Strada Maggiore 71 12345 Città X Ungheria Solidarietà Viva Viale Bruzzi 117 21023 Milano Italia Città X , 13 agosto 2011 Spettabile Soliderietà Viva , ho appreso dall' annuncio su un giornale di ieri .	Soliderietà	144	155	solidarietà	Solidarietà	n
Purché io sia libera tutto l' agosto , Vi prego di scrivermi esattemente quando posso cominciare il lavoro .	esattemente	61	72	esattamente	esattamente	y
Signore Marco Rossi Direttore Rana 11402 Villa del Lago ITALYA Maria Bianchi Strada Maggiore 2 Città X 1234 HUNGARY Egregio Dottore Rossi , Abbiamo visto il Suo annuncio sul internet .	Abbiamo	140	147	Abbiamo	abbiamo	n
Vi abbiano sembrato una possibilita meravigliosa con un prezzo accettabile .	possibilita	24	35	possibilità	possibilità	y
Ma adesso qui e dobbiamo lammentare per le seguenti cose .	lammentare	25	35	alimentare	lamentare	n
Sta mattina siamo partiti a nuotare ma il piscina era sovrafollata .	sovrafollata	54	66	sovraffollato	sanaffollata	n
Dopo abbiamo deciso fare una passegiata all' lago ma quello e tanto lontano dalla residence che siamo andati finalmente indietro .	passegiata	29	39	passeggiata	passeggiata	y
Dopo abbiamo deciso fare una passegiata all' lago ma quello e tanto lontano dalla residence che siamo andati finalmente indietro .	e	60	61	è	è	y
Egregi Signori , ho letto un annuncio sul giornale e adesso Gli scrivo perchè vorrei chiedere informazioni : Se voglio dire la verità io ho diciotto anni , ma voglio lavorare in America latina , perchè vorrei imparare la lingua .	perchè	71	77	perché	perché	y
Egregi Signori , ho letto un annuncio sul giornale e adesso Gli scrivo perchè vorrei chiedere informazioni : Se voglio dire la verità io ho diciotto anni , ma voglio lavorare in America latina , perchè vorrei imparare la lingua .	perchè	195	201	perché	perché	y
Purtroppo non ho molto tempo libero , perchè devo studiare molto , perciò se c' è possibilità vorrei andare in agosto .	perchè	38	44	perché	perché	y
Cosa é necessario esattamente per lavorare ?	é	5	6	è	è	y
Che cosa fará esattamente ?	fará	9	13	fare	farà	n
Naturalmente se Lei offre qualcosa leggeró volentieri .	leggeró	35	42	leggerò	leggerò	y
Egregi Signori , Sono una ragazza ventenne anni , ho letto il vostro annuncio nella Corriere della Sera nella quale state cercando persone che fanno vacanza nella vostra azienda .	Sono	17	21	Sono	sono	n
Prima di tutto vorrei descrivere i miei problemi e le differenze tra la realtà e l' annuncio publicato .	publicato	93	102	pubblicato	pubblicato	y
Mi rivolgo a Voi , tramite questa lettera nella possibilità che fatemi un parziale rimborso , perchè questo viaggio era terribile ed accetabile .	perchè	94	100	perché	perché	y
Mi rivolgo a Voi , tramite questa lettera nella possibilità che fatemi un parziale rimborso , perchè questo viaggio era terribile ed accetabile .	accetabile	133	143	accettabile	accettabile	y
Se non farete niente , allora rivolgheró a fare un denuncio .	rivolgheró	30	40	rivolgerò	rivolgerò	y
La piscina era sempre sovrafollata , e il lago era lontano e cosí non ho potuto nuotatre In attesa di un Vostro cenno di riscontro , Vi porgo i miei distinti saluti Maria Rossi	sovrafollata	22	34	sovraffollate	sovraffollata	n
La piscina era sempre sovrafollata , e il lago era lontano e cosí non ho potuto nuotatre In attesa di un Vostro cenno di riscontro , Vi porgo i miei distinti saluti Maria Rossi	cosí	61	65	così	così	y
Il mio estate e tutto libero , e adesso ho finito i miei studi , e ad oggi non ho trovato nessun lavoro fisso e per questo scrivo per aiutare per la Vostra agenzia .	e	14	15	è	è	y
Ho 22 anni e aiuto per tutti , perchè secondo me questo e un positivo gesto .	perchè	31	37	perché	perché	y
Ho 22 anni e aiuto per tutti , perchè secondo me questo e un positivo gesto .	e	56	57	è	è	y
Se il mio aiuto e buono o perfetto per Voi , posso rimanere 28 settembre , ma devo tornare a Città X fino a 30 settembre .	e	16	17	è	è	y
Ho molte esperienze lavorare in paesi sottosviluppati , perchè anche il mio luogo e non sviluppato molto .	perchè	56	62	perché	perché	y
Ho molte esperienze lavorare in paesi sottosviluppati , perchè anche il mio luogo e non sviluppato molto .	e	82	83	e	è	n
Prima di tutto , vorrei dire che non sono soddisfatta con i servizi da una parte perché abbiate anniunciato altre cose che abbiamo ricevuto d' altra parte perché nonostante questo la vacanza non valeva la pena .	anniunciato	96	107	annunciate	annunciato	n
C' erano molte differenze , per esempio abbiate anniunciato che il residence era di recente costruzione , inoltre , che c' era aria condizionata , il lago era vicino , e c' era opportunità di fare gli sport , come tennis e pallavolo .	anniunciato	48	59	annunciato	annunciato	y
Invece il residenza era vecchia , l' aria condizionata non funzionava , il lago era lontanto dall' appartamento , e non abbiamo potuto fare gli sport , perché i campi da tennis era in riparazione .	lontanto	84	92	lontano	lontano	y
Adesso lavoro come insegnante nella scuola dell Monastero , e come un condottore dell corale della chiesa .	condottore	70	80	conduttore	conduttore	y
Ma se bisogna , faro anche altri lavori .	faro	16	20	fare	farò	n
Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratticamente ai abitanti di America latina e per formare la mia personalità , per conoscere altre paese , altre culture .	Instituto	52	61	Istituto	instituto	n
Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratticamente ai abitanti di America latina e per formare la mia personalità , per conoscere altre paese , altre culture .	pratticamente	64	77	praticamente	praticamente	y
Nellattesa della Vostra risposta : Michele Rossi	Nellattesa	0	10	Niellantesi	Nell'	n
65 , 27100 Pavia , Italia Cara Gabriella Favati , il 2 ottobre 2011 mi rivolga a Lei con refiremento al Suo avviso in cui scrive che ha bisogno di aiuto e vorrei aitarLa .	refiremento	89	100	riferimento	riferimento	y
65 , 27100 Pavia , Italia Cara Gabriella Favati , il 2 ottobre 2011 mi rivolga a Lei con refiremento al Suo avviso in cui scrive che ha bisogno di aiuto e vorrei aitarLa .	aitarLa	162	169	aiutarla	aiutarLa	n
Studio lo spagnolo da due anni e studiarlo sembra che sia utile , perchè molte persone parlano lo spagnolo .	perchè	66	72	perché	perché	y
Ho cominciato studiare l' italiano tre anni fa , perchè non c' era la possibilita di studiare lo spagnolo a scuola , però adesso amo l' italiano .	perchè	49	55	perché	perché	y
Ho cominciato studiare l' italiano tre anni fa , perchè non c' era la possibilita di studiare lo spagnolo a scuola , però adesso amo l' italiano .	possibilita	70	81	possibilità	possibilità	y
Secondo la mia opinione la perdita degli amichi é un errore grave ma c' è ancora speranza .	é	48	49	è	è	y
Al liceo , ho fruquantato un classe inglese , così ho un esame a livello medio della lingua inglese .	fruquantato	14	25	frequentato	frequentato	y
Oggigiorni uso molto la lingua inglese , perchè leggo molti libri e vedo i film in inglese .	perchè	41	47	perché	perché	y
Secondo me , imparare una lingua straniera è un po' difficile , ma vale la pena , perchè se andiamo in vacanze all' estero , possiamo parlare con gli cittadini e anche fare le spese e chiedere informazioni .	perchè	82	88	perché	perché	y
Le lingue stranieri sono molto utili , quando cerchi un lavoro , perchè ci sono molte ditte multinazionali .	perchè	65	71	perché	perché	y
Università degli Studi di Pavia , Corso Strada Nuova , 65 , 27100 Pavia , Italia 1 ottobre 2011 Egregio Signora Favati , ho letto il Suo avviso e colgo l' occassione per aiutarLa .	occassione	155	165	occasione	occasione	y
Uso l' inglese quasi ogni giorno perchè questa lingue è la lingua più importante .	perchè	33	39	perché	perché	y
Egregio Gabriella Favati , Lei scrivo questa lettera perchè ho trovato il Suo annuncio .	perchè	53	59	perché	perché	y
Credo che inglese sia piuttosto facile , perchè questa lingua è usata sull' internet .	perchè	41	47	perché	perché	y
Egregio Singnor Giorgo Ho letto la Sua lettera in Settimana Giovani , al numero scorso .	Singnor	8	15	signor	Signor	n
Egregio Singnor Giorgo Ho letto la Sua lettera in Settimana Giovani , al numero scorso .	Giorgo	16	22	giorno	Giorgio	n
Adesso vorrei entrare sulla problema come no scriva per queste persone che vorebbe finire l' amicinzia .	vorebbe	75	82	potrebbe	.	n
Adesso vorrei entrare sulla problema come no scriva per queste persone che vorebbe finire l' amicinzia .	amicinzia	93	102	amicizia	vorrebbe	n
So ho anche una esperianza .	esperianza	16	26	esperienza	amicizia	n
C' è il sito web dove possiamo fare amicinzia .	amicinzia	36	45	amicizia	esperienza	n
Intern e chat molto dificile cosa .	dificile	20	28	difficile	difficile	y
Anchio ho avuto problemi con cui .	Anchio	0	6	Anch'io	Anch'io	y
Anchio ho cancellato dal cellulare tutti i numeri delle persone con cui ' chatao ' , ma questo soluzione non bene .	Anchio	0	6	Anch'io	Anch'io	y
Anchio ho cancellato dal cellulare tutti i numeri delle persone con cui ' chatao ' , ma questo soluzione non bene .	chatao	74	80	Chat	chattavo	n
Ho comprato una nouvo cellulare e numero .	nouvo	16	21	nuova	nuovo	n
-unreadable - Ho reinstalato il systema operazione nel mio computer .	systema	32	39	sistema	sistema	y
Perchè internet e molto importante parte la vita mia .	Perchè	0	6	Perché	Perché	y
ho fatta eticha per usare del .	eticha	9	15	etica	etica	y
Gabriella Favati Dipartimento di Linguistica Teorica e Applicata Universita degli Studi di Pavia Corso Strada Nuova 65 27100 - Pavia Italia Maria Rossi Strada Maggiore 34 12345 Città X Ungheria 01/01/2011 Gentile Gabriella Favati , In referimento all' annuncio del dito di Università degli Studi di Pavia .	Universita	65	75	Università	Università	y
Gabriella Favati Dipartimento di Linguistica Teorica e Applicata Universita degli Studi di Pavia Corso Strada Nuova 65 27100 - Pavia Italia Maria Rossi Strada Maggiore 34 12345 Città X Ungheria 01/01/2011 Gentile Gabriella Favati , In referimento all' annuncio del dito di Università degli Studi di Pavia .	In	232	234	In	in	n
Vorrei ti aiuto , e scrivo la mia esperianza quando ho studiata la lingua straniera .	esperianza	34	44	esperienza	esperienza	y
Ho provato parlare con gli altri , e ho provato conoscere la cultura itoliana , la vita , la gente .	itoliana	69	77	italiana	italiana	y
Allora secondo me è molto importante se voui conoscere l' altra cultura non solo la lingua .	voui	40	44	vuoi	vuoi	y
E ho fatto un giro in Italia , perchè durante il questo tempo ho conoscuto la lingua , la cultura , il cibo , la gente .	perchè	31	37	perché	perché	y
E ho fatto un giro in Italia , perchè durante il questo tempo ho conoscuto la lingua , la cultura , il cibo , la gente .	conoscuto	65	74	conosciuto	conosciuto	y
Le invio il mio curriculum , se vouó parlare con la assocazione do ho studiato .	assocazione	52	63	Associazione	associazione	n
Buona gironata Maria Rossi Allegato : lingua straniera	gironata	6	14	giornata	gironata	n
Gabriella Favati Dipartimento di Linguistica Teorica e Applicata Università degli studi di Pavia Corso Strada Nuova 65 27100 Pavia , Italia Maria Rossi Strada Maggiore 6 Città X 12345 Ungheria Ogg : richiesta informazione Città X , 01 Ottobre 2011 Egrega Signora , mi chiamo Maria Rossi , ho 20 anni , sono una studentessa universitaria ungherese .	Egrega	248	254	Egregia	Egregia	y
Posso studiare italiano più facile , perchè mia madre aiutarmi .	perchè	37	43	perché	perché	y
Con lei passo parlare tramite Internet oggigorni e così posso imparare la lingua .	oggigorni	39	48	soggiorni	oggigiorni	n
Maria Rossi Strada Maggiore , 12345 Città X , 12345 UNGARIA GABRIELLA FAVATI UNIVERSITÀ DEGLI STUDI DI PAVIA CORSO STRADA NUOVA , 65 27100 PAVIA ITALIA Cara Gabriella Favati , Vorrei dispiegare la mia esperienza di lingue straniere per ricerca .	Vorrei	176	182	Vorrei	vorrei	n
Ho dovuto parlare italiano , e lo dovuto capire questa lingue , perchè se non ho capito , come ho fatto il caffe per italiani ?	perchè	64	70	perché	perché	y
Ho dovuto parlare italiano , e lo dovuto capire questa lingue , perchè se non ho capito , come ho fatto il caffe per italiani ?	caffe	107	112	caffè	caffè	y
I professori , ché aiutano per studenti , sono sempre buoni in Italia .	ché	15	18	che	che	y
Settimana Giovani Via Crispi , 119 80127 , Italia Caro Giorgo , da quando tempo !	Giorgo	55	61	Giorgio	Giorgio	y
Internet é molto usare perchè posso leggere , giocare , guardare i film .	é	9	10	è	è	y
Internet é molto usare perchè posso leggere , giocare , guardare i film .	perchè	23	29	perché	perché	y
Se puoi , và al cinema e ristorante , al bar e bere qualcosa insieme in vivo .	và	10	12	va	va'	n
Abbraccio la tua amica Maria	Abbraccio	0	9	Abbraccio	Abbraccio	y
Ti consigliamo ad incontrarci con questi raggazzi così vi potete conoscere bene e dopo l' incontro poi decidere se voi tenere il rapporto con loro o no .	raggazzi	41	49	ragazzi	ragazzi	y
L' internet e utile e una buona cosa ma po essere anche pericoloso .	e	12	13	è	è	y
Dopo un anno l' abbiamo cambiata alla tedesca con cui mi sono occupató per 8 anni e alla fine ho superato un' esame di lingua al livello medio .	occupató	62	70	occupato	occupato	y
Non mi piaceva affatto perchè trovavo difficile la grammatica e devo dire che a me non sembre tanto bella .	perchè	23	29	perché	perché	y
Secondo me solo sull' internet non si può fare grande amicizia , perchè non si può conoscere la persona in fondo .	perchè	65	71	perché	perché	y
Hai fatto bene di chiudere questa conoscienza .	conoscienza	34	45	conoscenza	conoscenza	y
Questo e più sviluppato , e poi mettere le persone in gruppi .	e	7	8	è	è	y
Maria Rossi Strada Maggiore 10 1234 Città X , UNGHERIA GABRIELLA FAVATI UNIVERISTÀ DEGLI STUDI DI PAVIA CORSO STRADA NUOVA , 65 , 27 100 PAVIA , ITALIA Città X , 01 OTTOBRE 2011 Gentile Gabriella Favati , In riferimento al Suo avviso , che ho letto nella bacheca della nostra scuola di lingua .	In	205	207	In	in	n
Posso practicare la lingua la , ma anche scrivo la mia tesi in italiano .	la	27	29	ma	là	n
Ho fatto molte amicizie a Reggio di Calabria e per questo sempre posso practicare la lingua e posso impararmi .	practicare	71	81	praticare	praticare	y
Nuovo 65 271000 Pavia , Italia Città X , 01 il ottobre 2011 Eg.Gabriella , io sono Maria Rossi in Ungheria , vivo a Città X .	Eg.Gabriella	60	72	Gabriele	Egr. Gabriella	n
Ancora non ho parlato solo in inglese , ma mi piacuto abbastanza a sua lingue - italiana .	piacuto	46	53	piaccio	piaciuto	n
Qui ho comincato la mia strori per lingua italiana , perché ho deciso : vorrei parlare e capiscare bene questa lingua bellissima .	comincato	7	16	cominciato	cominciato	y
Io son fortunato , perchè ho trovato una corso , dove ho studiato e acconto a corso ho lavorato in negozio di italiano .	perchè	19	25	perché	perché	y
Quando ho comincare imparare questa lingua , non sapevo - il mottivo sarà grande a me : imparò il lingua a mia lavoroposto .	comincare	10	19	cominciate	cominciare	n
Quando ho comincare imparare questa lingua , non sapevo - il mottivo sarà grande a me : imparò il lingua a mia lavoroposto .	mottivo	61	68	motivo	motivo	y
Vorrei darti consiglio perche questa problema è famigliare anche per me .	perche	23	29	perché	perché	y
Ho provato trovare anche l' amore ma non è riuscito perchè non erano uomini buoni in vivo .	perchè	52	58	perché	perché	y
Non dare il tuo numero di telefono mai perchè è un abitazione della gente di scrivere messaggi .	perchè	39	45	perché	perché	y
Tutti fanno cosi .	cosi	12	16	così	così	y
Me stessa l' ho fatto cosi prima e funzionava .	cosi	22	26	così	così	y
Guardo film italiani e giocco tanto .	giocco	23	29	gioco	gioco	y
Maria Rossi Città X , 1234 Strada Maggiore 5 Ungheria Città X , 1 ottobre 2011 Spettabile Dipartimento di Linguistica Teorica e Applicata , Alla cortese attenzione di Gabriella Favati Università degli Studi di Pavia , Corso Strada Nuova , 65 , 27100 Pavia , Italia Gentile Profesoressa Favati , In riferimento al Suo annuncio nella bacheca della nostra scuola di lingua , Le scrivo per condividere le mie esperienze personali per quanto riguarda studiare e conoscere una lingua straniere .	Profesoressa	273	285	professoressa	professoressa	y
Maria Rossi Città X , 1234 Strada Maggiore 5 Ungheria Città X , 1 ottobre 2011 Spettabile Dipartimento di Linguistica Teorica e Applicata , Alla cortese attenzione di Gabriella Favati Università degli Studi di Pavia , Corso Strada Nuova , 65 , 27100 Pavia , Italia Gentile Profesoressa Favati , In riferimento al Suo annuncio nella bacheca della nostra scuola di lingua , Le scrivo per condividere le mie esperienze personali per quanto riguarda studiare e conoscere una lingua straniere .	In	295	297	In	in	n
Dopo l' inglese ho cominciato studiare lo spagnolo negli superiori , però sicomme non usavo la lingua a parte le classe , avevo più difficultà .	sicomme	74	81	siccome	siccome	y
Poi un anno fa' ho cominciato a studiare anche l' italiano che mi piaceva sempre .	fa'	12	15	fa	fa	y
La cosa invece che mi piace di più che quando vado all' estero posso communicare una lingua oltre la mia madrelingua e questo fa parte una cultura .	communicare	69	80	comunicare	comunicare	y
Spero di abbia aiutato con le mie esperienze , Colgo l' occasione di gradire i miei cordiali saluti , Rossi Maria	Colgo	47	52	Colgo	colgo	n
01/10/2011 Cara Gabriella , Mi chiamo Michele e ho letto la tua lettera in cui tu chiedi aiutare di cercare un apprendimento di lingua straniera .	Mi	28	30	Mi	mi	n
È obligatorio praticare e usare la lingua ogni giorno , perchè così tu non dimenticarli niente .	obligatorio	2	13	obbligatorio	obbligatorio	y
È obligatorio praticare e usare la lingua ogni giorno , perchè così tu non dimenticarli niente .	perchè	56	62	perché	perché	y
Io sono personalmente molto felice , perchè quando stavo a Parigi , ho conosciuto una ragazza bellissima che parla bene in francese però lei è ungherese .	perchè	37	43	perché	perché	y
All' inizo peró sento il bisogno di presentarmi .	inizo	5	10	inizio	inizio	y
All' inizo peró sento il bisogno di presentarmi .	peró	11	15	però	però	y
Come viene strutturare un giono nel posto di lavoro ?	giono	26	31	giorno	giorno	y
Vorrei chierdere anche dello stipendio .	chierdere	7	16	Chiedere	chiedere	n
Questo è stato buono per perfezzionare il mio conosenza di inglese .	perfezzionare	25	38	perfezionare	perfezionare	y
Ho lavorato primo in un azienda come capouffico , ma questa solo un azienda locale , non è piu grande della vostra .	capouffico	37	47	capocomico	capoufficio	n
Ho lavorato primo in un azienda come capouffico , ma questa solo un azienda locale , non è piu grande della vostra .	un	65	67	una	un'	n
Ho lavorato primo in un azienda come capouffico , ma questa solo un azienda locale , non è piu grande della vostra .	piu	91	94	più	più	y
Io uso sempre il mio computer e ho un eseme ECDL .	eseme	38	43	esame	esame	y
Mio primo domanda è : quando possiamo incontrarci , e se ricevo il lavoro quando devo comincare .	comincare	86	95	cominciare	cominciare	y
Maria Rossi Strada Maggiore 20 12345 Città X CENTRO CULTURALE INTERNAZIONALE VIA DEI MILLE 48 , 17021 ALASSIO (SV ) Spettabile Ditta , scrivo per un risposto su un annuncio " Aggiungi un posto a tavola " apparso sul giornale Cucinare in Italia.È un iniziativa molto attesa da me .	un	246	248	una	un'	n
Ho una grande problema perchè sono allergica a latte .	perchè	23	29	perché	perché	y
Lavoro a turni , e devo parlare con i miei collegi prima .	collegi	43	50	colleghi	colleghi	y
Spettabile Agenzia Lavoro Interinale , Alla attanzione cortese del direttore In risposta all' annuncio che si trova sul giornale .	attanzione	44	54	attenzione	attenzione	y
Ecco la mia candidattura e come vedrà la mia curriculum vitae .	candidattura	12	24	candidatura	candidatura	y
Ho già una minima esperienza nel settore , fino ad oggi lavoravo in un grande negozio di abbigliamento come assistente , cosi conosco il mondo della moda , e naturalmente ho conoscenza del pacchetto Office .	cosi	121	125	così	così	y
- Da mattina al pomerrigio ?	pomerrigio	16	26	pomeriggio	pomeriggio	y
Ho superato l' esame di maturità e poi ho frequentato l' Università di Università X alla facolta di legge .	facolta	89	96	facoltà	facoltà	y
Voglio presentarmi per questo lavoro perchè ha svegliàta la mia curiosità .	perchè	37	43	perché	perché	y
Voglio presentarmi per questo lavoro perchè ha svegliàta la mia curiosità .	svegliàta	47	56	svegliato	svegliata	n
Lavoro come assistante presso l' agenzia Elle di 1999 .	assistante	12	22	assistente	asssitente	n
Lavoro in Reggio Emilia no ho problema perchè non abita lontano e sono single .	perchè	39	45	perché	perché	y
ALI Città X Paese X Ti ho scritto perchè ho letto l' anuncio sul internet .	perchè	34	40	perché	perché	y
ALI Città X Paese X Ti ho scritto perchè ho letto l' anuncio sul internet .	anuncio	53	60	annuncio	annuncio	y
Quando a 14 anni sono andata una modella di garra , cosi mi interessa molta moda .	garra	44	49	gara	gara	y
Quando a 14 anni sono andata una modella di garra , cosi mi interessa molta moda .	cosi	52	56	cosa	così	n
Ho fatto l' esame di maturita e sto cercando un -unreadable- .	maturita	21	29	maturità	maturità	y
Ho quache domande per esempio quando si deve cominciare il lavoro , e quanto si deve lavorare durante un giorno ?	quache	3	9	qualche	qualche	y
Sono molto giovanile e cosi purtroppo non ho lavorato molto , ma l' estate scorsa ho lavorato come un " baby sitter " .	cosi	23	27	così	così	y
Mi piacerebbe lavorare di nuovo nel mondo della moda perchè è il mondo unico che io conosca .	perchè	53	59	perché	perché	y
L' Orario di lavoro non è importante per me perchè non avendo famiglia posso lavorare tanto .	Orario	3	9	orario	orario	y
L' Orario di lavoro non è importante per me perchè non avendo famiglia posso lavorare tanto .	perchè	44	50	perché	perché	y
Città X , 19 novembre 2011 -symbol- ALI - Agenzia Lavoro Interinale Via Dante Alighieri 40 I - 42010 Regio Emilia Italia Egregio Signore responsabile , Le scritto per avere informazioni reguardo al lavoro -unreadable - .	reguardo	186	194	riguardo	riguardo	y
Io sono studentessa all' universita di Città Y .	universita	25	35	Università	università	n
Io posso comincare al lavoro a lunedi .	comincare	9	18	comunicare	cominciare	n
Io posso comincare al lavoro a lunedi .	lunedi	31	37	lunedì	lunedì	y
Orario di lavoro è molto buono per me , perchè sono libertà ogni gionni .	perchè	40	46	perché	perché	y
Io ho lavorata a cinama , si chiama cinema centro .	cinama	17	23	cinema	cinema	y
Buona comprensione scritta e orale di Inglese .	Inglese	38	45	inglese	inglese	y
Dopo la laurea ho lavorato 2 anni a Città Y in un salone di moda , anche perche volevo perfezionare la mia conoscenza italiana .	perche	73	79	perché	perché	y
Avrò bisogno delle mode nella mia vita futtura e vorrei lavorare nel Vostro azienda ! -symbol- Vorrei chiedere ulteriori informazioni .	futtura	39	46	futura	futura	y
La mia preferita materia è la storia , perchè così posso conoscere altre culture .	perchè	39	45	perché	perché	y
Io abito a Città X per questo è difficile andare , così posso andare solo all' estero perchè frequento alla scuola .	perchè	86	92	perché	perché	y
Scuzi , prezenterà suo piatti per me .	Scuzi	0	5	Scuri	Scusi	n
Scuzi , prezenterà suo piatti per me .	prezenterà	8	18	presenterà	presenterà	y
La mia collega ha intolleraza della pomodora .	intolleraza	18	29	intolleranza	intolleranza	y
Ho leggo suo ristorante perchè vogliano andare al ristorante .	perchè	24	30	perché	perché	y
