Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
Diese Erfarung wurde mich späte gut helfen , bei meine Arbeit in Armenien .	Erfarung	6	14	Erfahrung	Erfahrung	y
Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	Könen	0	5	Tönen	Können	n
Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	sie	6	9	Sie	Sie	y
Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	arbeit	68	74	Arbeit	Arbeit	y
Ich möchte wiessen welche Rechte und Pflichte ich in Deutschland habe .	wiessen	11	18	wissen	wissen	y
Kann ich mit meinem Armenischen Pass nach Deutschland fliegen ?	Armenischen	20	31	armenischen	armenischen	y
Was für Freizeitaktivitäten die Deutschekinder mögen ?	Deutschekinder	32	46	rutschender	deutschen Kinder	n
Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	Uber	0	4	User	Über	n
Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	verbliebe	57	66	verbleibe	verbleibe	y
Ich begeistere für diese Angebot Chance um mein Deutsch zu verbesser und andere Leute kennenzulernen , die unterschietliche und verschiedenen Ländern kommen , und ganz unterschiedliche Kulturen haben .	unterschietliche	107	123	unterschiedlichen	unterschiedliche	n
Ich - unreadable - nicht , das ich eine Deutschprüfung bestehen muss .	das	27	30	dass	dass	y
Können Sie mir doch mitteilen , ob ich eine Krankenversicherung in diesem Zentrum haben will , und ob ich am Wochende frei haben will ?	Wochende	109	117	kochende	Wochenende	n
Ich wurd wäre Ihnen sehr dankbar , wenn Sie mich meine Fragen benantworten würden .	benantworten	62	74	beantworten	beantworten	y
Eva Meier Schmidt Müllergasse 12 12345 Stadt X Kroatien Aupair-sglobal Bahnhofstr .	Aupair-sglobal	56	70	Asaisonal	Aupairsglobal	n
101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	interesiert	116	127	interessiert	interessiert	y
101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	teil	134	138	teil	teilzunehmen	n
101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	zu	139	141	zu	teilzunehmen	n
101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	nehmen	142	148	nehmen	teilzunehmen	n
Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	dass	43	47	das	das	y
Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Au-pair	48	55	unfair	Au-pair-Stelle	n
Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Stelle	56	62	Stellen	Au-pair-Stelle	n
Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	möglichkeit	108	119	Möglichkeit	Möglichkeit	y
Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	sprache	126	133	Sprache	Sprache	y
Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Lehrerin	64	72	Lehrerin	Lehrerinausbildung	n
Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Ausbildung	73	83	Ausbildung	Lehrerinausbildung	n
Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	endecken	167	175	entdecken	entdecken	y
Mit Freundlichen grüßen , Eva Meier	Freundlichen	4	16	freundlichen	freundlichen	y
Mit Freundlichen grüßen , Eva Meier	grüßen	17	23	Grüßen	Grüßen	y
Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	WOLTE	207	212	Worte	WOLLTE	n
Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	STELEN	234	240	Selen	STELLEN	n
ICH HABE LITAUISCHE STAATSANGEHORISCHKEIT : WIE IST MIT AUFENTHALTSFORMALITÄTEN ?	STAATSANGEHORISCHKEIT	20	41	Staatlichkeit	STAATSANGEHÖRIGKEIT	n
( LITAUEN IST IN den EU ) : BRAUCHE ICH " EINE ABITUR DIPLOME und ec : DOKUMENTE ZU UBERSETZEN ?	UBERSETZEN	84	94	ersetzen	ÜBERSETZEN	n
WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	POWEREITUNG	26	37	Wertung	vORBEREITUNG	n
WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wolte	156	161	wollte	wollte	y
WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wisen	162	167	wissen	wissen	y
WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	geschprochen	205	217	gesprochen	gesprochen	y
Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	Deutsche	19	27	deutsch	deutsche	n
Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	sprache	64	71	Sprache	Sprache	y
Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	verbesern	75	84	verbessern	verbessern	y
( Englisch spreche ich nicht ) Noch ein paar Fragen : - Wie viele Stunde am Tag würde ich Arbeiten ?	Arbeiten	90	98	arbeiten	arbeiten	y
- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	wan	2	5	An	wann	n
- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Schuhle	25	32	Schule	Schule	y
- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	organizieren	81	93	organisieren	organisieren	y
- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Deutschsprache	184	198	deutschsprachige	Deutschsprachkurs	n
- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Kurse	199	204	Kurse	Deutschsprachkurs	n
- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	besuschen	205	214	besuchen	besuchen	y
Gibs in Eurere Statd solche Kurse ???	Statd	15	20	Stadt	Stadt	y
Ich gerne schwimmen ( das tut gut für Stresausbau ) , dürfte ich das auch in Deutschland machen ?	Stresausbau	38	49	Stackaufbau	Stressabbau	n
Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	mitte	47	52	Mitte	Mitte	y
Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	abreiten	74	82	arbeiten	arbeiten	y
101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	interesse	147	156	Interesse	interessiert	n
101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	ideall	269	275	ideal	ideal	y
Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	neues	123	128	neue	Neues	n
Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	verlaüft	271	279	verkauft	verläuft	n
Bewerbung um ein Praktikum Sehr geehrte Damen und Herren , hiermit möchte ich mich als praktikantin in Ihrer Einrichtung bewerben .	praktikantin	87	99	Praktikantin	Praktikantin	y
Dies macht mir große freude .	freude	21	27	Freude	Freude	y
Ich bin Motiviert an arbeite gern im Team .	Motiviert	8	17	motiviert	motiviert	y
Ich bin Studentin als Betriebswirtschaftslehre an der XY Universität in Stadt Y und Ich will in Deutschland weiter Studieren .	Ich	84	87	ich	ich	y
Ich kann gut mit andere Leute zusammen arbeiten Ich lerne gerne neues dazu .	neues	64	69	neue	Neues	n
Ich kann sehr gut mit Computer arbeiten und ich kenne officeprogramme sehr gut .	officeprogramme	54	69	Traineeprogramme	Officeprogramme	n
Ich freue mich sehr über ein vorstellungsspräch .	vorstellungsspräch	29	47	Versteifungsblech	Vorstellungsgespräch	n
123 12345 Stadt X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 08.02.2009 Bewerbung um einen Praktikumsplatz Sehr geehrte Damen und Herren , Ich interessiere mich dafür , mein Praktikum bei Ihrem Geschäft zu machen .	Ich	144	147	Ich	ich	n
Ich spreche gut Russisch , Deutsch , Englisch und ich habe Grundkenntnisse in Franzosisch .	Franzosisch	78	89	französisch	Französisch	n
Julia Müller Stadt X , den 11,3,2010 Bahnhof str 101	Bahnhof	37	44	Bahn	Bahnhofstr.	n
Julia Müller Stadt X , den 11,3,2010 Bahnhof str 101	str	45	48	Str.	Bahnhofstr.	n
.	.	0	1	.	Bahnhofstr.	n
12 12345 Stadt X VertriebPraktikant w. / m Bahnhofstr .	VertriebPraktikant	17	35	Praktikant	Vertriebspraktikant	n
5 , 53119 Bonn Seher geeharter Dammen und Herren !	Seher	15	20	Eher	Sehr	n
5 , 53119 Bonn Seher geeharter Dammen und Herren !	geeharter	21	30	geehrte	geehrte	y
5 , 53119 Bonn Seher geeharter Dammen und Herren !	Dammen	31	37	Damen	Damen	y
In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	Kaufmännischen	36	50	kaufmännischen	kaufmännischen	y
In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	VertrebPraktik	61	75	Vertebraten	Vertriebspraktikant	n
In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	ant	76	79	an	Vertriebspraktikant	n
Ich möchte gern Teinehmen .	Teinehmen	16	25	teilnehmen	teilnehmen	y
Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	intersieren	14	25	interessieren	interessieren	y
Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	fach	42	46	nach	Fach	n
Invormieren Sie mir für diesen fach .	Invormieren	0	11	Informieren	Informieren	y
Invormieren Sie mir für diesen fach .	fach	31	35	nach	Fach	n
Bitte schreiben Sie mich wann anfängen und wie viel-unreadable - geburien habe , für Teilnehmen ?	geburien	65	73	geboren	Gebühren	n
Bitte schreiben Sie mich wann anfängen und wie viel-unreadable - geburien habe , für Teilnehmen ?	Teilnehmen	85	95	Teilnehmer	teilnehmen	n
und Teilen Sie mir .	Teilen	4	10	Teilen	teilen	n
oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	desen	23	28	diesen	diesen	y
oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	Telefon	29	36	Telefon	Telefonnummer	n
oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	nberen	37	43	neben	Telefonnummer	n
oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	Teil	74	78	Teil	teilnehmen	n
oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	nehme	79	84	nehmen	teilnehmen	n
Ich biedake mich für diesen invohrmieren .	biedake	4	11	bedanke	bedanke	y
Ich biedake mich für diesen invohrmieren .	invohrmieren	28	40	informieren	Information	n
mit frundlichen Grüßen	mit	0	3	Mit	Mit	y
mit frundlichen Grüßen	frundlichen	4	15	freundlichen	freundlichen	y
Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	Als	162	165	Als	als	n
Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	enzeige	228	235	Anzeige	Anzeige	y
Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	seh	257	260	sehr	sehr	y
In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	Chencen	41	48	Chancen	Chancen	y
In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	Kaufmännischer	53	67	kaufmännischer	kaufmännischer	y
In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	inder	118	123	Kinder	in der	n
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	meie	6	10	meine	meine	y
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	erfahrung	36	45	Erfahrung	Erfahrung	y
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	Exel	69	73	Excel	Excel	y
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	behersche	84	93	beherrsche	beherrsche	y
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	10	98	100	XP	10-Finger-System	n
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	Finger	101	107	Finger	10-Finger-System	n
Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	System	108	114	System	10-Finger-System	n
Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	Prarktikum	14	24	Praktikum	Praktikum	y
Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	vertrieb	29	37	Vertrieb	Vertrieb	y
Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	firme	53	58	filme	Firma	n
Ich war schon Prarktikum als vertrieb für Nahost bei firme XY in der Zeit von 01.7.09 bis 21.09.09 davon viele erfahrung gebrach .	erfahrung	111	120	erfahrene	Erfahrung	n
Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	Eben	0	4	Eben	Ebenso	n
Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	so	5	7	so	Ebenso	n
Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	Sprach	18	24	Sprache	Sprachkenntnisse	n
Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	kentnesse	25	34	Kenntnisse	Sprachkenntnisse	n
Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	Als	76	79	als	als	y
Eben so wie meine Sprach kentnesse Arabisch , Englisch und Russisch verteit Als intrnational tätig .	intrnational	80	92	international	international	y
Auser dem bin ich flexibel und engagiert .	Auser	0	5	Außer	Außerdem	n
Auser dem bin ich flexibel und engagiert .	dem	6	9	dem	Außerdem	n
Auch Wochenenddienste und wechselende Arbeitzeit Selbsverstänlich .	Selbsverstänlich	49	65	selbstverständlich	selbstverständlich	y
Über Einladung zu Gesprach termin freu mich seh .	Gesprach	18	26	Gespräch	Gesprächstermin	n
Über Einladung zu Gesprach termin freu mich seh .	termin	27	33	Termine	Gesprächstermin	n
Über Einladung zu Gesprach termin freu mich seh .	seh	44	47	sehr	sehr	y
Mit freundlichen Grüssen Meier Müller	Grüssen	17	24	Grüßen	Grüßen	y
Stadt X , den 05.03.2010 Maria Meier Zentralplatz 12 12345 Stadt Y 123456789 Computer-Spezialist Odenwaldstr 5 53119 Bonn Bewerbung um ein Praktikum Sehr geehrte Damen und Herren auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von 15.04 bis 15.5 in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt .	ansprusvollen	220	233	anspruchsvollen	anspruchsvollen	y
Stadt X , den 05.03.2010 Maria Meier Zentralplatz 12 12345 Stadt Y 123456789 Computer-Spezialist Odenwaldstr 5 53119 Bonn Bewerbung um ein Praktikum Sehr geehrte Damen und Herren auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von 15.04 bis 15.5 in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt .	Unternemen	264	274	Unternehmen	Unternehmen	y
Stadt X , den 05.03.2010 Maria Meier Zentralplatz 12 12345 Stadt Y 123456789 Computer-Spezialist Odenwaldstr 5 53119 Bonn Bewerbung um ein Praktikum Sehr geehrte Damen und Herren auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von 15.04 bis 15.5 in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt .	Tatigkeit	438	447	Tätigkeit	Tätigkeit	y
Stadt X , den 05.03.2010 Maria Meier Zentralplatz 12 12345 Stadt Y 123456789 Computer-Spezialist Odenwaldstr 5 53119 Bonn Bewerbung um ein Praktikum Sehr geehrte Damen und Herren auf der Suche nach einem lehrreichen und ansprusvollen Arbeitsumfeld bin ich auf ihr Unternemen aufmerksam geworden Darum bewerbe ich mich hiermit um ein Praktikum von 15.04 bis 15.5 in der Abteilung elektronische Datenverarbeitung besonders bin ich an einer Tatigkeit in Bereich elektronika interessirt .	interessirt	471	482	interessant	interessiert	n
Das Praktikum ist Bestandteil meines Studiums , das ich eiginständig und verantwortungsvoll gestalten möchte .	eiginständig	56	68	eigenständig	eigenständig	y
Mein theoretisches Fachwisen und Kompetenzen würden meiner Arbeit bei Ihnen zu gute kommen .	Fachwisen	19	28	nachweisen	Fachwissen	n
Sehr gerne würde ich mich bei Ihnen personlich vorstelen und freue mich , wen Sie Zeit für ein Gespräch finden .	personlich	36	46	persönlich	persönlich	y
Sehr gerne würde ich mich bei Ihnen personlich vorstelen und freue mich , wen Sie Zeit für ein Gespräch finden .	vorstelen	47	56	vorstellen	vorstellen	y
Sehr gerne würde ich mich bei Ihnen personlich vorstelen und freue mich , wen Sie Zeit für ein Gespräch finden .	wen	74	77	wenn	wenn	y
Zurzeit absolviere ich Abitur , vorher habe ich Hauptschule abschluss gemacht mit der Gesamtnote 1,6 .	Hauptschule	48	59	Paukschule	Hauptschulabschluss	n
Zurzeit absolviere ich Abitur , vorher habe ich Hauptschule abschluss gemacht mit der Gesamtnote 1,6 .	abschluss	60	69	Abschluss	Hauptschulabschluss	n
Aufgrund meiner bisher durchgefuhrtene Praktika ( siehe Lebenslauf ) verfüge ich beriet über viel Erfahrung im Wirtschaftshandelbereich und einige Erfahrungen im Einzelhandelbereich .	durchgefuhrtene	23	38	durchgeführten	durchgeführten	y
Ihr Unternehmen arbeitet mit verschiedenen Unternehmen aus der ganzen Welt , so könnte ich meine Englisch - , Russisch und Deutschkenntnisse anwenden und perfektionieren .	Russisch	110	118	russische	Russisch-	n
Eva Winkelmann Bahnhofsstraße 12 12345 Stadt X Tel. 0123456789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Stadt X , den 05.03.10 Praktikantenstelle im Bereich It-Systemkauffrau Sehr geehrte Damen und Herren , ich möchte mich bei Ihnen um einen Praktikumsplatzt bewerben .	It-Systemkauffrau	164	181	systemkonform	IT-Systemkauffrau	n
Eva Winkelmann Bahnhofsstraße 12 12345 Stadt X Tel. 0123456789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Stadt X , den 05.03.10 Praktikantenstelle im Bereich It-Systemkauffrau Sehr geehrte Damen und Herren , ich möchte mich bei Ihnen um einen Praktikumsplatzt bewerben .	Praktikumsplatzt	249	265	Podiumsplatz	Praktikumsplatz	n
Nach meiner Ausbildung als Bureau Kauffrau lerne ich Deutsch in der VHS Stadt X. Ich beherrsche Französisch und Englisch schriftlich und mundlich und bin ich ganz sicher , nachdem ich ein Praktikum bei Ihnen absolviert , werde ich auch Deutsche Sprache in meinem Beruf zählen .	Bureau	27	33	Break	Bürokauffrau	n
Nach meiner Ausbildung als Bureau Kauffrau lerne ich Deutsch in der VHS Stadt X. Ich beherrsche Französisch und Englisch schriftlich und mundlich und bin ich ganz sicher , nachdem ich ein Praktikum bei Ihnen absolviert , werde ich auch Deutsche Sprache in meinem Beruf zählen .	Kauffrau	34	42	auftrat	Bürokauffrau	n
Nach meiner Ausbildung als Bureau Kauffrau lerne ich Deutsch in der VHS Stadt X. Ich beherrsche Französisch und Englisch schriftlich und mundlich und bin ich ganz sicher , nachdem ich ein Praktikum bei Ihnen absolviert , werde ich auch Deutsche Sprache in meinem Beruf zählen .	mundlich	137	145	mündlich	mündlich	y
